root_id,cell_type,side,nt
720575940602783968,ER3d,left,gaba
720575940602917088,EPGt,left,acetylcholine
720575940603094700,"ER3a_a,ER3a_d",left,gaba
720575940603409632,PFNp,left,dopamine
720575940603747360,PFNa,right,acetylcholine
720575940603823462,PEN_a(PEN1),right,acetylcholine
720575940603895584,"ER3a_a,ER3a_d",left,gaba
720575940603919537,ER1,left,gaba
720575940603942846,PFNp,right,acetylcholine
720575940603942944,PFNp,right,acetylcholine
720575940603964774,ER4d,right,gaba
720575940604157361,PFNp,right,acetylcholine
720575940604404425,PEG,left,acetylcholine
720575940604498208,PFNp,right,acetylcholine
720575940604518432,PFNv,right,acetylcholine
720575940604518944,PFNp,left,acetylcholine
720575940604561766,PFNm,right,acetylcholine
720575940604667825,PFNp,left,acetylcholine
720575940604708832,Delta7,right,glutamate
720575940604786889,PFNp,left,acetylcholine
720575940604801993,EPG,right,acetylcholine
720575940604842924,ER4d,right,gaba
720575940604967270,ER2,right,gaba
720575940605135038,PEG,right,acetylcholine
720575940605591730,PFNp,left,acetylcholine
720575940605639858,PEN_a(PEN1),left,acetylcholine
720575940605640905,PFL3,right,acetylcholine
720575940605726642,IbSpsP,right,acetylcholine
720575940605827761,EPG,left,acetylcholine
720575940605837024,ER3m,right,gaba
720575940605889760,IbSpsP,left,acetylcholine
720575940605890434,PFNp,left,acetylcholine
720575940606102729,ER4d,right,gaba
720575940606123954,PEN_b(PEN2),right,acetylcholine
720575940606137004,Delta7,right,glutamate
720575940606301874,IbSpsP,left,acetylcholine
720575940606414526,IbSpsP,left,acetylcholine
720575940606591836,ER3d,right,gaba
720575940606597298,ER2,left,gaba
720575940606734258,PFNp,right,acetylcholine
720575940606763110,ER3d,right,gaba
720575940606951893,ER2,left,gaba
720575940607039957,ER3w,left,gaba
720575940607040981,ER3w,left,gaba
720575940607227228,PFNa,left,acetylcholine
720575940607245781,ER3m,left,gaba
720575940607246549,ER3d,left,gaba
720575940607250697,PFNa,right,acetylcholine
720575940607285001,PFNa,left,acetylcholine
720575940607287305,PFNd,left,acetylcholine
720575940607290633,PFNm,right,acetylcholine
720575940607330825,PFNm,left,acetylcholine
720575940607621059,"ER3a_a,ER3a_d",right,gaba
720575940607721685,PFNa,left,acetylcholine
720575940608047299,PFNa,right,acetylcholine
720575940608064707,PFNp,left,acetylcholine
720575940608068035,PFNm,left,acetylcholine
720575940608147413,PFNp,left,acetylcholine
720575940608435012,PFNp,right,acetylcholine
720575940608673860,Delta7,right,glutamate
720575940608722371,EPG,right,acetylcholine
720575940608909870,ER1,left,gaba
720575940608918830,PEN_b(PEN2),left,acetylcholine
720575940608939362,PFNp,right,acetylcholine
720575940609019512,PFNp,left,acetylcholine
720575940609175758,PFNp,left,acetylcholine
720575940609183950,PFNp,left,acetylcholine
720575940609536120,PFNp,right,acetylcholine
720575940609604875,PFR,left,serotonin
720575940609621003,ER3m,right,gaba
720575940609843349,PFNp,right,acetylcholine
720575940609869922,PFNp,left,acetylcholine
720575940609924875,Delta7,left,glutamate
720575940610157410,PFNa,right,acetylcholine
720575940610177203,PFNm,left,acetylcholine
720575940610178417,PFNv,left,acetylcholine
720575940610208917,ER2,right,gaba
720575940610219715,PFGs,right,glutamate
720575940610249426,PEN_a(PEN1),right,acetylcholine
720575940610255458,IbSpsP,left,acetylcholine
720575940610263665,ER3m,right,gaba
720575940610363059,PFNm,left,acetylcholine
720575940610403826,PFNp,right,acetylcholine
720575940610444530,PFNp,right,acetylcholine
720575940610449587,PFNp,right,acetylcholine
720575940610451123,PFNp,right,acetylcholine
720575940610453162,PEG,right,acetylcholine
720575940610453427,EPG,left,acetylcholine
720575940610502851,PEN_a(PEN1),right,acetylcholine
720575940610505701,ER3w,right,gaba
720575940610602410,"ER3a_a,ER3a_d",left,gaba
720575940610612337,PFNp,left,acetylcholine
720575940610615269,PFNm,right,acetylcholine
720575940610640357,PFNa,left,acetylcholine
720575940610670250,PFR,right,dopamine
720575940610675123,ER3m,left,gaba
720575940610682261,PFNm,right,acetylcholine
720575940610686938,PFNp,right,acetylcholine
720575940610860250,PFNa,left,acetylcholine
720575940610877098,PFR,left,dopamine
720575940610901930,EPG,left,acetylcholine
720575940610929114,PFNp,right,acetylcholine
720575940610980932,ExR3,left,dopamine
720575940611048306,ER2,left,gaba
720575940611102469,PFNm,left,acetylcholine
720575940611181518,PFR,right,serotonin
720575940611216099,EPG,right,acetylcholine
720575940611296790,Delta7,right,glutamate
720575940611375001,IbSpsP,right,acetylcholine
720575940611396835,PEG,right,acetylcholine
720575940611527794,PFNv,right,acetylcholine
720575940611583923,PFNa,left,acetylcholine
720575940611612018,PFNm,left,acetylcholine
720575940611669987,ER3d,left,gaba
720575940611856760,ER3w,right,gaba
720575940611939026,PFNd,left,acetylcholine
720575940611944675,PFNp,left,acetylcholine
720575940611946194,ER3p_b,left,gaba
720575940611947235,PFNp,left,acetylcholine
720575940611960274,ER3d,right,gaba
720575940612099986,PEG,right,acetylcholine
720575940612127151,ER3d,left,gaba
720575940612208754,ER5,left,gaba
720575940612211496,PFR,right,dopamine
720575940612238255,ER3w,left,gaba
720575940612248883,PFNp,left,acetylcholine
720575940612272424,PFL1,left,acetylcholine
720575940612310824,PFNp,left,acetylcholine
720575940612351510,ER1,left,gaba
720575940612453522,PFNm,left,acetylcholine
720575940612568985,PFNm,left,acetylcholine
720575940612589735,PFNv,right,acetylcholine
720575940612631970,ER3d,left,gaba
720575940612710184,PFNp,left,acetylcholine
720575940612712401,PFNp,left,acetylcholine
720575940612763158,PEN_b(PEN2),right,acetylcholine
720575940612765330,PFNp,right,acetylcholine
720575940612831486,PFNp,right,acetylcholine
720575940612861842,PFNa,left,acetylcholine
720575940612862882,PFNp,left,acetylcholine
720575940612869269,ExR1,left,gaba
720575940612870952,PFL3,right,acetylcholine
720575940612892670,PFNd,left,acetylcholine
720575940612916114,ER3d,left,gaba
720575940612916370,ER3m,left,gaba
720575940612920466,PEN_b(PEN2),right,acetylcholine
720575940612936154,PFL3,left,acetylcholine
720575940612937073,ExR7,left,acetylcholine
720575940612939154,PFNd,right,acetylcholine
720575940612979090,ER3w,right,gaba
720575940613115289,PFNp,left,acetylcholine
720575940613152423,"ER3a_b,ER3a_c",right,gaba
720575940613184362,PFNp,right,acetylcholine
720575940613214098,PFNd,right,acetylcholine
720575940613301471,PFNp,right,acetylcholine
720575940613338521,ER3d,left,gaba
720575940613353726,PFNa,right,acetylcholine
720575940613374879,PFNp,left,acetylcholine
720575940613403042,PFNp,left,acetylcholine
720575940613412258,PFNp,right,acetylcholine
720575940613434786,PFNm,right,acetylcholine
720575940613441442,PFNa,right,acetylcholine
720575940613492114,PFNp,right,acetylcholine
720575940613497490,PFNm,left,acetylcholine
720575940613526674,PFNp,left,acetylcholine
720575940613552018,PFNp,right,acetylcholine
720575940613674663,PFNd,right,acetylcholine
720575940613676402,ER3m,right,gaba
720575940613686442,ER1,left,gaba
720575940613700674,ER3p_a,right,gaba
720575940613714430,PFNd,right,acetylcholine
720575940613754527,PFNd,left,acetylcholine
720575940613825695,ER3p_a,left,gaba
720575940613829535,PFL1,right,acetylcholine
720575940613829900,EPG,right,acetylcholine
720575940613836438,EPG,right,acetylcholine
720575940613869974,IbSpsP,left,acetylcholine
720575940613958412,PFNm,left,acetylcholine
720575940614002143,PFNp,right,acetylcholine
720575940614073315,ER3d,right,gaba
720575940614123570,PFNp,left,acetylcholine
720575940614297640,EPG,right,acetylcholine
720575940614326782,IbSpsP,right,acetylcholine
720575940614355654,PFNp,right,acetylcholine
720575940614686943,ER2,left,gaba
720575940614735558,PFNp,left,acetylcholine
720575940614886331,PFNp,left,serotonin
720575940614900127,PFNm,right,acetylcholine
720575940614920379,PFNa,left,acetylcholine
720575940614923963,PFNp,right,acetylcholine
720575940614926475,EPG,left,acetylcholine
720575940615043670,PFNp,right,acetylcholine
720575940615089494,ER2,left,gaba
720575940615098683,PFNp,left,acetylcholine
720575940615101747,ExR1,right,acetylcholine
