root_id,cell_type,side,nt
10043,ER5,left,gaba
10099,ExR6,right,glutamate
10324,ExR1,right,acetylcholine
10513,Delta7,right,glutamate
10537,LNO2,right,glutamate
10539,EPG,right,acetylcholine
10624,ExR5,right,glutamate
10817,PFNv,left,acetylcholine
10969,ExR4,left,glutamate
11053,LPsP,left,acetylcholine
11184,Delta7,right,glutamate
11307,EPG,left,acetylcholine
11326,ExR5,right,glutamate
11340,ExR7,right,acetylcholine
11433,ExR1,left,acetylcholine
11497,LNO2,left,glutamate
11503,EPG,right,acetylcholine
11557,PFL2,left,acetylcholine
11605,ER5,right,gaba
11673,PFL2,right,acetylcholine
11745,PFL1,right,acetylcholine
11786,PFL1,left,acetylcholine
11874,EPG,left,acetylcholine
11886,ExR1,right,acetylcholine
11933,ER2_c,right,gaba
11987,EPG,right,acetylcholine
11989,EPG,left,acetylcholine
12059,ER5,right,gaba
12357,ER2_c,left,gaba
12358,PEN_a(PEN1),left,acetylcholine
12449,EPG,left,acetylcholine
12506,ExR6,left,glutamate
12656,ExR1,left,acetylcholine
12706,ExR3,left,serotonin
12797,ER4m,right,gaba
13031,PFL2,right,acetylcholine
13094,ER4d,right,gaba
13217,EPG,left,acetylcholine
13395,ER4m,right,gaba
13434,ER4m,right,gaba
13490,PFL2,left,acetylcholine
13892,PFR_b,right,acetylcholine
13985,ER4m,left,gaba
13999,ER3w_c,right,gaba
14284,ER5,right,gaba
14308,ER4m,left,gaba
14464,ER6,left,gaba
14482,ER4m,right,gaba
14507,EPG,right,acetylcholine
14509,Delta7,right,glutamate
14631,PFNp_c,left,acetylcholine
14663,PFL1,right,acetylcholine
14727,EPG,left,acetylcholine
14729,PFL2,right,acetylcholine
14806,Delta7,left,glutamate
14816,Delta7,left,glutamate
14963,ER5,left,gaba
15176,PEN_b(PEN2),right,acetylcholine
15210,PFL3,left,acetylcholine
15398,Delta7,right,glutamate
15399,Delta7,right,glutamate
15409,Delta7,left,glutamate
15444,ER2_d,left,gaba
15458,ExR8,left,acetylcholine
15495,Delta7,right,glutamate
15616,EPG,right,acetylcholine
15654,Delta7,left,glutamate
15674,LNOa,left,glutamate
15713,EPG,left,acetylcholine
15837,Delta7,right,glutamate
15839,Delta7,right,glutamate
15851,Delta7,left,glutamate
15904,Delta7,right,glutamate
15967,PFNa,right,acetylcholine
16008,PEG,right,acetylcholine
16110,Delta7,right,glutamate
16180,Delta7,right,glutamate
16214,PFR_b,right,acetylcholine
16234,Delta7,right,glutamate
16303,PFR_a,left,serotonin
16343,ER4d,right,gaba
16360,EPG,left,acetylcholine
16412,Delta7,left,glutamate
16440,ER4m,left,gaba
16476,Delta7,left,glutamate
16540,Delta7,right,glutamate
16553,Delta7,left,glutamate
16598,ER3w_b,right,gaba
16800,PFGs,left,serotonin
16818,ER4d,right,gaba
16869,Delta7,left,glutamate
17000,PFL3,left,acetylcholine
17016,LNO1,right,gaba
17024,Delta7,left,glutamate
17078,ER5,right,gaba
17143,Delta7,right,glutamate
17171,ER5,right,gaba
17286,PFL3,left,acetylcholine
17290,PFL3,left,acetylcholine
17379,Delta7,right,glutamate
17402,ER4m,left,gaba
17419,ER6,right,gaba
17454,PEN_a(PEN1),left,acetylcholine
17561,ER3m,right,gaba
17591,ER4d,right,gaba
17679,ER2_d,right,gaba
17753,Delta7,left,glutamate
17804,Delta7,left,glutamate
18058,ER2_b,left,gaba
18156,ExR2,left,dopamine
18327,PFL3,right,acetylcholine
18377,ER3w_b,left,gaba
18419,PEN_a(PEN1),left,acetylcholine
18504,PEN_a(PEN1),right,acetylcholine
18508,ER2_c,left,gaba
18586,PFR_a,left,serotonin
18625,PFL1,right,acetylcholine
18633,ER5,left,gaba
18639,Delta7,left,glutamate
18664,ER2_c,right,gaba
18670,PFR_b,right,acetylcholine
18733,ER2_c,left,gaba
18744,PEN_a(PEN1),left,acetylcholine
18779,PEN_a(PEN1),right,acetylcholine
18803,PFL3,right,acetylcholine
18823,Delta7,right,glutamate
18851,PFL3,right,acetylcholine
18932,PEN_b(PEN2),right,acetylcholine
19009,PFL3,right,acetylcholine
19011,IbSpsP,left,acetylcholine
19072,ER5,right,gaba
19125,EPG,right,acetylcholine
19169,ER3m,left,gaba
19189,PEN_a(PEN1),left,acetylcholine
19269,PFL1,right,acetylcholine
19323,ER4d,right,gaba
19355,ER2_c,right,gaba
19367,PFGs,right,serotonin
19410,ER4d,left,gaba
19425,ER2_c,right,gaba
19443,PFR_a,right,serotonin
19564,PFGs,right,serotonin
19569,ER2_c,right,gaba
19715,PFL2,left,acetylcholine
19737,ER4d,right,gaba
19760,PEN_b(PEN2),left,acetylcholine
19791,ER4d,left,gaba
19807,ER2_c,left,gaba
19825,EPG,right,acetylcholine
19900,ER2_c,left,gaba
19917,ER2_c,right,gaba
19935,ER2_c,right,gaba
20007,PEG,right,acetylcholine
20026,ER5,left,gaba
20233,ExR7,left,acetylcholine
20253,ER2_a,right,gaba
20279,PFL1,right,acetylcholine
20317,ER2_c,left,gaba
20339,PFNm_b,right,acetylcholine
20385,ER3a_a,left,gaba
20404,ER4d,left,gaba
20514,ER3d_d,left,gaba
20559,ER2_a,left,gaba
20590,ER2_a,right,gaba
20605,ER2_a,left,gaba
20653,ER4d,left,gaba
20664,ER2_a,right,gaba
20678,ER2_d,right,gaba
20781,PFGs,right,serotonin
20818,PEN_a(PEN1),left,acetylcholine
20883,ER2_c,right,gaba
20945,ER2_c,right,gaba
20980,ER4d,right,gaba
21059,ER2_d,right,gaba
21179,ER2_a,right,gaba
21277,ER2_a,right,gaba
21345,PFNd,right,acetylcholine
21449,ER2_c,right,gaba
21645,ER2_a,left,gaba
21664,ER3d_e,right,gaba
21752,ER2_c,left,gaba
21882,ER2_a,left,gaba
21932,PEN_b(PEN2),left,acetylcholine
22001,ER5,left,gaba
22240,PEN_b(PEN2),right,acetylcholine
22461,ER4d,right,gaba
22644,ER3d_a,right,gaba
22657,PFGs,left,serotonin
22835,PFNd,right,acetylcholine
22884,ExR5,left,glutamate
23080,ER4d,right,gaba
23097,ER2_a,left,gaba
23159,PFL3,right,acetylcholine
23163,ER3a_a,right,gaba
23180,PFGs,left,serotonin
23197,ER4d,left,gaba
23273,PEN_b(PEN2),left,acetylcholine
23281,ExR5,left,glutamate
23315,ER4d,left,gaba
23461,PFNa,right,acetylcholine
23520,ER4d,left,gaba
23619,PEN_b(PEN2),right,acetylcholine
23703,ER1_b,right,gaba
23779,PFGs,right,serotonin
23859,ER3a_d,right,gaba
23874,ER4d,right,gaba
24076,ER4d,right,gaba
24093,ER3w_a,right,gaba
24122,ER4d,right,gaba
24382,PEN_b(PEN2),right,acetylcholine
24399,LNO1,left,gaba
24459,ER4d,left,gaba
24549,ER3w_c,left,gaba
24683,PFNv,left,acetylcholine
24879,ER4d,left,gaba
25184,PEN_b(PEN2),left,acetylcholine
25194,PFNa,left,acetylcholine
25203,ER3w_c,left,gaba
25297,ER3w_a,right,gaba
25329,ER3d_c,left,gaba
25359,ER3p_a,right,gaba
25447,ER3w_c,right,gaba
25494,ER3d_e,left,gaba
25501,ER3w_b,left,gaba
25549,PFR_b,right,acetylcholine
25709,ER2_c,left,gaba
25773,PFNv,left,acetylcholine
25792,PEN_a(PEN1),right,acetylcholine
25797,ER4d,left,gaba
25841,ER3w_b,left,gaba
25982,PFNd,left,acetylcholine
26038,PFL3,left,acetylcholine
26136,ER2_b,right,gaba
26295,ER3m,right,gaba
26417,PEN_b(PEN2),left,acetylcholine
26443,PEG,right,acetylcholine
26488,PFL3,right,acetylcholine
26673,ER3w_b,left,gaba
26739,PFNd,right,acetylcholine
26798,ER1_a,left,gaba
26841,ER3a_a,left,gaba
26843,ER3w_b,right,gaba
26913,PFNd,right,acetylcholine
26939,ER3m,right,gaba
27013,ER3m,left,gaba
27043,ER3w_c,right,gaba
27052,ER3d_d,right,gaba
27179,PFNv,left,acetylcholine
27191,PFNv,left,acetylcholine
27213,PFNd,left,acetylcholine
27246,ER3d_d,right,gaba
27269,ER3d_c,left,gaba
27296,PEN_a(PEN1),right,acetylcholine
27348,ER3m,left,gaba
27454,ER3d_c,right,gaba
27460,PFNd,right,acetylcholine
27492,PFL2,left,acetylcholine
27618,PFNd,left,acetylcholine
27770,ER3w_b,right,gaba
27806,ER3p_a,right,gaba
27850,ER3w_b,right,gaba
27903,ER3d_d,left,gaba
27985,PFNp_c,left,acetylcholine
28146,PFR_a,left,serotonin
28190,PFNv,right,acetylcholine
28248,PFGs,right,serotonin
28254,PFNv,right,acetylcholine
28339,ER4d,right,gaba
28430,ER3m,left,gaba
28559,PFNv,right,acetylcholine
28627,ER3m,left,gaba
28701,ER3d_b,right,gaba
28767,PFGs,right,serotonin
28791,PEN_b(PEN2),right,acetylcholine
29044,PFNa,right,acetylcholine
29046,ER3d_b,right,gaba
29135,PEN_b(PEN2),right,acetylcholine
