body_pre,inter_body,body_post,weight,dn_type,path,hops,motor_type
10360,,801946,134,DNa02,direct,1,Sternal anterior rotator MN
10360,,906235,102,DNa02,direct,1,Sternal anterior rotator MN
10360,,801469,79,DNa02,direct,1,Sternal anterior rotator MN
10360,,801918,61,DNa02,direct,1,Sternal anterior rotator MN
10360,,800316,40,DNa02,direct,1,Sternal anterior rotator MN
10360,,801335,30,DNa02,direct,1,MNhl59
10360,,801813,26,DNa02,direct,1,Sternal anterior rotator MN
10360,,811652,20,DNa02,direct,1,Fe reductor MN
10360,,802937,20,DNa02,direct,1,MNad63
10360,,903090,19,DNa02,direct,1,MNhl62
10360,,903152,16,DNa02,direct,1,ADNM1 MN
10360,,800917,14,DNa02,direct,1,hg1 MN
10360,,802659,12,DNa02,direct,1,MNhm03
10360,,800290,12,DNa02,direct,1,Pleural remotor/abductor MN
10360,,801899,11,DNa02,direct,1,MNad42
10360,,803830,9,DNa02,direct,1,Fe reductor MN
10360,,800553,8,DNa02,direct,1,Pleural remotor/abductor MN
10360,,813566,7,DNa02,direct,1,Fe reductor MN
10360,,800906,7,DNa02,direct,1,hg4 MN
10360,,806898,7,DNa02,direct,1,Fe reductor MN
10360,,802980,6,DNa02,direct,1,MNad63
10360,,800474,5,DNa02,direct,1,MNhm42
10360,,800158,5,DNa02,direct,1,Ti extensor MN
10360,,801362,5,DNa02,direct,1,MNad41
10360,,802120,4,DNa02,direct,1,b3 MN
10360,,835074,4,DNa02,direct,1,Fe reductor MN
10360,,808685,4,DNa02,direct,1,Ti flexor MN
10360,,821769,3,DNa02,direct,1,Fe reductor MN
10360,,807569,3,DNa02,direct,1,MNad31
10360,,807854,3,DNa02,direct,1,Sternal adductor MN
10360,,801693,3,DNa02,direct,1,Fe reductor MN
10360,,801148,3,DNa02,direct,1,Sternotrochanter MN
10360,,1050493413,2,DNa02,direct,1,Sternal posterior rotator MN
10360,,905145,2,DNa02,direct,1,Fe reductor MN
10360,,815854,2,DNa02,direct,1,Sternal adductor MN
10360,,902962,2,DNa02,direct,1,Fe reductor MN
10360,,805745,2,DNa02,direct,1,Tergopleural/Pleural promotor MN
10360,,802152,2,DNa02,direct,1,MNnm08
10360,,802731,2,DNa02,direct,1,MNhl59
10360,,801761,2,DNa02,direct,1,Sternal posterior rotator MN
10360,,928579,1,DNa02,direct,1,Ti extensor MN
10360,,908673,1,DNa02,direct,1,ltm2-femur MN
10360,,820110,1,DNa02,direct,1,Ta levator MN
10360,,804405,1,DNa02,direct,1,Ti flexor MN
10360,,803314,1,DNa02,direct,1,Pleural remotor/abductor MN
10360,,802151,1,DNa02,direct,1,MNnm03
10360,,802252,1,DNa02,direct,1,MNad34
523769,,801548,106,DNa02,direct,1,Sternal anterior rotator MN
523769,,903689,106,DNa02,direct,1,Sternal anterior rotator MN
523769,,804851,58,DNa02,direct,1,Sternal posterior rotator MN
523769,,919509,48,DNa02,direct,1,Sternal anterior rotator MN
523769,,800241,39,DNa02,direct,1,hg1 MN
523769,,802980,39,DNa02,direct,1,MNad63
523769,,804941,28,DNa02,direct,1,Fe reductor MN
523769,,832490,27,DNa02,direct,1,Sternal anterior rotator MN
523769,,805598,26,DNa02,direct,1,Fe reductor MN
523769,,802215,26,DNa02,direct,1,Sternal anterior rotator MN
523769,,801736,23,DNa02,direct,1,MNhl62
523769,,800175,21,DNa02,direct,1,Pleural remotor/abductor MN
523769,,806923,21,DNa02,direct,1,Sternal anterior rotator MN
523769,,802731,21,DNa02,direct,1,MNhl59
523769,,801678,20,DNa02,direct,1,ADNM1 MN
523769,,802937,18,DNa02,direct,1,MNad63
523769,,927808,17,DNa02,direct,1,Ti flexor MN
523769,,814163,17,DNa02,direct,1,Fe reductor MN
523769,,800847,14,DNa02,direct,1,hg4 MN
523769,,801335,11,DNa02,direct,1,MNhl59
523769,,818399,10,DNa02,direct,1,Sternal posterior rotator MN
523769,,802806,10,DNa02,direct,1,MNhm03
523769,,815344,8,DNa02,direct,1,Ti extensor MN
523769,,800578,6,DNa02,direct,1,Fe reductor MN
523769,,801933,6,DNa02,direct,1,MNhm42
523769,,802923,6,DNa02,direct,1,MNnm03
523769,,904184,5,DNa02,direct,1,Sternal adductor MN
523769,,1050111955,5,DNa02,direct,1,Ta levator MN
523769,,802781,4,DNa02,direct,1,MNnm08
523769,,801768,4,DNa02,direct,1,Sternal posterior rotator MN
523769,,801304,4,DNa02,direct,1,MNad42
523769,,905210,3,DNa02,direct,1,MNnm11
523769,,853504,3,DNa02,direct,1,"MNnm07,MNnm12"
523769,,812111,3,DNa02,direct,1,Fe reductor MN
523769,,809304,3,DNa02,direct,1,MNad45
523769,,807281,3,DNa02,direct,1,Tergopleural/Pleural promotor MN
523769,,807813,3,DNa02,direct,1,MNad45
523769,,802251,3,DNa02,direct,1,MNad34
523769,,801220,2,DNa02,direct,1,i1 MN
523769,,800504,2,DNa02,direct,1,Sternotrochanter MN
523769,,800541,2,DNa02,direct,1,Pleural remotor/abductor MN
523769,,803813,2,DNa02,direct,1,MNad36
523769,,825681,2,DNa02,direct,1,ltm MN
523769,,902310,2,DNa02,direct,1,Pleural remotor/abductor MN
523769,,1050335829,2,DNa02,direct,1,Sternal posterior rotator MN
523769,,1051054875,2,DNa02,direct,1,Sternal posterior rotator MN
523769,,800061,1,DNa02,direct,1,Tergopleural/Pleural promotor MN
523769,,807870,1,DNa02,direct,1,MNad16
523769,,810639,1,DNa02,direct,1,Tr flexor MN
523769,,906520,1,DNa02,direct,1,MNad40
523769,,903508,1,DNa02,direct,1,MNml81
10360,801437,801469,195,DNa02,via_interneuron,2,Sternal anterior rotator MN
10360,801437,801918,195,DNa02,via_interneuron,2,Sternal anterior rotator MN
10360,801437,817210,29,DNa02,via_interneuron,2,Ta levator MN
10360,801437,815854,24,DNa02,via_interneuron,2,Sternal adductor MN
10360,801437,801824,23,DNa02,via_interneuron,2,Tergopleural/Pleural promotor MN
10360,801437,820896,16,DNa02,via_interneuron,2,Ta levator MN
10360,801437,813566,14,DNa02,via_interneuron,2,Fe reductor MN
10360,801437,805745,14,DNa02,via_interneuron,2,Tergopleural/Pleural promotor MN
10360,801437,924716,4,DNa02,via_interneuron,2,Tergotr. MN
10360,801437,806898,4,DNa02,via_interneuron,2,Fe reductor MN
10360,801437,802072,3,DNa02,via_interneuron,2,Tergopleural/Pleural promotor MN
10360,801437,1050005026,2,DNa02,via_interneuron,2,Acc. ti flexor MN
10360,801437,804257,1,DNa02,via_interneuron,2,Ti extensor MN
10360,801437,811652,1,DNa02,via_interneuron,2,Fe reductor MN
10360,801437,817347,1,DNa02,via_interneuron,2,Tergotr. MN
10360,800687,801761,150,DNa02,via_interneuron,2,Sternal posterior rotator MN
10360,800687,802521,150,DNa02,via_interneuron,2,Sternal posterior rotator MN
10360,800687,800962,150,DNa02,via_interneuron,2,Sternal posterior rotator MN
10360,800687,902719,150,DNa02,via_interneuron,2,Pleural remotor/abductor MN
10360,800687,803499,150,DNa02,via_interneuron,2,Pleural remotor/abductor MN
10360,800687,800776,144,DNa02,via_interneuron,2,Pleural remotor/abductor MN
10360,800687,807395,100,DNa02,via_interneuron,2,MNml29
10360,800687,905145,36,DNa02,via_interneuron,2,Fe reductor MN
10360,800687,801477,26,DNa02,via_interneuron,2,MNml81
10360,800687,818996,21,DNa02,via_interneuron,2,Sternal posterior rotator MN
10360,800687,811395,8,DNa02,via_interneuron,2,MNxm02
10360,800687,823132,2,DNa02,via_interneuron,2,Fe reductor MN
10360,800687,910095,2,DNa02,via_interneuron,2,Tr flexor MN
10360,800687,820574,1,DNa02,via_interneuron,2,MNml83
10360,800687,840530,1,DNa02,via_interneuron,2,Tr extensor MN
10360,800687,867926,1,DNa02,via_interneuron,2,Acc. tr flexor MN
10360,905009,801813,149,DNa02,via_interneuron,2,Sternal anterior rotator MN
10360,905009,801946,149,DNa02,via_interneuron,2,Sternal anterior rotator MN
10360,905009,903844,7,DNa02,via_interneuron,2,MNml80
10360,905009,801391,2,DNa02,via_interneuron,2,STTMm
10360,905009,800230,2,DNa02,via_interneuron,2,MNml82
10360,905009,902719,2,DNa02,via_interneuron,2,Pleural remotor/abductor MN
10360,905009,802837,1,DNa02,via_interneuron,2,ps2 MN
10360,905009,905487,1,DNa02,via_interneuron,2,ltm MN
10360,905009,824223,1,DNa02,via_interneuron,2,STTMm
10360,905009,928579,1,DNa02,via_interneuron,2,Ti extensor MN
10360,800149,801715,109,DNa02,via_interneuron,2,Sternal posterior rotator MN
10360,800149,801492,109,DNa02,via_interneuron,2,Sternal posterior rotator MN
10360,800149,801768,109,DNa02,via_interneuron,2,Sternal posterior rotator MN
10360,800149,800578,109,DNa02,via_interneuron,2,Fe reductor MN
10360,800149,803704,101,DNa02,via_interneuron,2,Sternal posterior rotator MN
10360,800149,902492,88,DNa02,via_interneuron,2,Pleural remotor/abductor MN
10360,800149,802964,87,DNa02,via_interneuron,2,Sternal posterior rotator MN
10360,800149,801915,81,DNa02,via_interneuron,2,Sternal posterior rotator MN
10360,800149,800175,71,DNa02,via_interneuron,2,Pleural remotor/abductor MN
10360,800149,804078,41,DNa02,via_interneuron,2,MNhl29
10360,800149,803226,38,DNa02,via_interneuron,2,Sternal posterior rotator MN
10360,800149,802509,32,DNa02,via_interneuron,2,Pleural remotor/abductor MN
10360,800149,801173,28,DNa02,via_interneuron,2,Tergopleural/Pleural promotor MN
10360,800149,802781,20,DNa02,via_interneuron,2,MNnm08
10360,800149,905421,16,DNa02,via_interneuron,2,Pleural remotor/abductor MN
10360,800149,802731,12,DNa02,via_interneuron,2,MNhl59
10360,800149,803803,10,DNa02,via_interneuron,2,Pleural remotor/abductor MN
10360,800149,800061,9,DNa02,via_interneuron,2,Tergopleural/Pleural promotor MN
10360,800149,800875,7,DNa02,via_interneuron,2,MNad33
10360,800149,802251,7,DNa02,via_interneuron,2,MNad34
10360,800149,800541,7,DNa02,via_interneuron,2,Pleural remotor/abductor MN
10360,800149,1051670893,7,DNa02,via_interneuron,2,Tr flexor MN
10360,800149,800851,6,DNa02,via_interneuron,2,Sternotrochanter MN
10360,800149,806837,5,DNa02,via_interneuron,2,MNad47
10360,800149,800504,4,DNa02,via_interneuron,2,Sternotrochanter MN
10360,800149,801933,4,DNa02,via_interneuron,2,MNhm42
10360,800149,903158,3,DNa02,via_interneuron,2,Tr flexor MN
10360,800149,803582,3,DNa02,via_interneuron,2,MNnm10
10360,800149,802295,3,DNa02,via_interneuron,2,Ti flexor MN
10360,800149,800928,3,DNa02,via_interneuron,2,ps1 MN
10360,800149,801319,2,DNa02,via_interneuron,2,MNnm13
10360,800149,801548,2,DNa02,via_interneuron,2,Sternal anterior rotator MN
10360,800149,803086,2,DNa02,via_interneuron,2,MNml29
10360,800149,804851,2,DNa02,via_interneuron,2,Sternal posterior rotator MN
10360,800149,808640,2,DNa02,via_interneuron,2,Sternal posterior rotator MN
10360,800149,919509,2,DNa02,via_interneuron,2,Sternal anterior rotator MN
10360,800149,801335,1,DNa02,via_interneuron,2,MNhl59
10360,800149,802120,1,DNa02,via_interneuron,2,b3 MN
10360,800149,802215,1,DNa02,via_interneuron,2,Sternal anterior rotator MN
10360,800149,803147,1,DNa02,via_interneuron,2,Ti flexor MN
10360,800149,803451,1,DNa02,via_interneuron,2,MNad35
10360,800149,804025,1,DNa02,via_interneuron,2,Fe reductor MN
10360,800149,805255,1,DNa02,via_interneuron,2,MNad32
10360,800149,804326,1,DNa02,via_interneuron,2,MNad14
10360,800149,806599,1,DNa02,via_interneuron,2,Acc. ti flexor MN
10360,800149,821154,1,DNa02,via_interneuron,2,Acc. tr flexor MN
10360,800149,1050335829,1,DNa02,via_interneuron,2,Sternal posterior rotator MN
10360,800149,909078,1,DNa02,via_interneuron,2,Tr extensor MN
10360,800423,903090,50,DNa02,via_interneuron,2,MNhl62
10360,800423,903643,43,DNa02,via_interneuron,2,Sternal posterior rotator MN
10360,800423,800316,27,DNa02,via_interneuron,2,Sternal anterior rotator MN
10360,800423,800553,18,DNa02,via_interneuron,2,Pleural remotor/abductor MN
10360,800423,801693,13,DNa02,via_interneuron,2,Fe reductor MN
10360,800423,807854,10,DNa02,via_interneuron,2,Sternal adductor MN
10360,800423,906235,8,DNa02,via_interneuron,2,Sternal anterior rotator MN
10360,800423,801335,8,DNa02,via_interneuron,2,MNhl59
10360,800423,800290,5,DNa02,via_interneuron,2,Pleural remotor/abductor MN
10360,800423,801375,3,DNa02,via_interneuron,2,Sternotrochanter MN
10360,800423,802731,2,DNa02,via_interneuron,2,MNhl59
10360,800423,902962,2,DNa02,via_interneuron,2,Fe reductor MN
10360,800423,816022,2,DNa02,via_interneuron,2,MNhl29
10360,800423,905928,2,DNa02,via_interneuron,2,Tr flexor MN
10360,800423,801267,1,DNa02,via_interneuron,2,MNhl02
10360,800423,801899,1,DNa02,via_interneuron,2,MNad42
10360,800423,869369,1,DNa02,via_interneuron,2,MNhl65
10360,801027,803314,99,DNa02,via_interneuron,2,Pleural remotor/abductor MN
10360,801027,805313,99,DNa02,via_interneuron,2,Pleural remotor/abductor MN
10360,801027,805410,85,DNa02,via_interneuron,2,Sternal posterior rotator MN
10360,801027,808011,20,DNa02,via_interneuron,2,Sternal posterior rotator MN
10360,801027,806898,8,DNa02,via_interneuron,2,Fe reductor MN
10360,801027,810535,5,DNa02,via_interneuron,2,Tergopleural/Pleural promotor MN
10360,801027,818719,4,DNa02,via_interneuron,2,Tr flexor MN
10360,801027,804245,4,DNa02,via_interneuron,2,FNM2
10360,801027,811652,3,DNa02,via_interneuron,2,Fe reductor MN
10360,801027,806403,2,DNa02,via_interneuron,2,MNnm14
10360,801027,817347,1,DNa02,via_interneuron,2,Tergotr. MN
10360,801027,835074,1,DNa02,via_interneuron,2,Fe reductor MN
10360,801027,1050091581,1,DNa02,via_interneuron,2,Acc. ti flexor MN
10360,801752,910095,61,DNa02,via_interneuron,2,Tr flexor MN
10360,801752,804405,43,DNa02,via_interneuron,2,Ti flexor MN
10360,801752,805568,22,DNa02,via_interneuron,2,Acc. ti flexor MN
10360,801752,924142,21,DNa02,via_interneuron,2,Tr flexor MN
10360,801752,805010,19,DNa02,via_interneuron,2,Ti flexor MN
10360,801752,817681,17,DNa02,via_interneuron,2,Tr flexor MN
10360,801752,812531,10,DNa02,via_interneuron,2,Acc. ti flexor MN
10360,801752,803829,6,DNa02,via_interneuron,2,Tr flexor MN
10360,801752,801058,6,DNa02,via_interneuron,2,Tr flexor MN
10360,801752,801057,5,DNa02,via_interneuron,2,Tr flexor MN
10360,801752,907848,4,DNa02,via_interneuron,2,Acc. ti flexor MN
10360,801752,902719,3,DNa02,via_interneuron,2,Pleural remotor/abductor MN
10360,801752,816222,3,DNa02,via_interneuron,2,Ti flexor MN
10360,801752,810098,3,DNa02,via_interneuron,2,Ti flexor MN
10360,801752,800589,3,DNa02,via_interneuron,2,Tr flexor MN
10360,801752,801477,3,DNa02,via_interneuron,2,MNml81
10360,801752,802835,2,DNa02,via_interneuron,2,iii1 MN
10360,801752,908673,2,DNa02,via_interneuron,2,ltm2-femur MN
10360,801752,927808,2,DNa02,via_interneuron,2,Ti flexor MN
10360,801752,909371,2,DNa02,via_interneuron,2,Sternal adductor MN
10360,801752,802232,1,DNa02,via_interneuron,2,Tr flexor MN
10360,801752,802295,1,DNa02,via_interneuron,2,Ti flexor MN
10360,801752,802864,1,DNa02,via_interneuron,2,Sternotrochanter MN
10360,800722,903090,77,DNa02,via_interneuron,2,MNhl62
10360,800722,906235,77,DNa02,via_interneuron,2,Sternal anterior rotator MN
10360,800722,800316,77,DNa02,via_interneuron,2,Sternal anterior rotator MN
10360,800722,801335,27,DNa02,via_interneuron,2,MNhl59
10360,800722,905849,8,DNa02,via_interneuron,2,Tergotr. MN
10360,800722,903643,4,DNa02,via_interneuron,2,Sternal posterior rotator MN
10360,800722,801267,3,DNa02,via_interneuron,2,MNhl02
10360,800722,802731,2,DNa02,via_interneuron,2,MNhl59
10360,800722,905792,2,DNa02,via_interneuron,2,MNhl01
10360,800722,1050091102,2,DNa02,via_interneuron,2,ltm MN
10360,800722,800158,1,DNa02,via_interneuron,2,Ti extensor MN
10360,800722,800290,1,DNa02,via_interneuron,2,Pleural remotor/abductor MN
10360,800722,801932,1,DNa02,via_interneuron,2,
10360,800722,801090,1,DNa02,via_interneuron,2,Sternotrochanter MN
10360,934591,803226,32,DNa02,via_interneuron,2,Sternal posterior rotator MN
10360,934591,800175,10,DNa02,via_interneuron,2,Pleural remotor/abductor MN
10360,934591,801492,9,DNa02,via_interneuron,2,Sternal posterior rotator MN
10360,934591,801768,7,DNa02,via_interneuron,2,Sternal posterior rotator MN
10360,934591,802964,6,DNa02,via_interneuron,2,Sternal posterior rotator MN
10360,934591,803704,6,DNa02,via_interneuron,2,Sternal posterior rotator MN
10360,934591,801933,5,DNa02,via_interneuron,2,MNhm42
10360,934591,801715,4,DNa02,via_interneuron,2,Sternal posterior rotator MN
10360,934591,802407,3,DNa02,via_interneuron,2,Sternotrochanter MN
10360,934591,804078,3,DNa02,via_interneuron,2,MNhl29
10360,934591,905421,3,DNa02,via_interneuron,2,Pleural remotor/abductor MN
10360,934591,912694,3,DNa02,via_interneuron,2,ltm1-tibia MN
10360,934591,819384,3,DNa02,via_interneuron,2,Ti flexor MN
10360,934591,800578,2,DNa02,via_interneuron,2,Fe reductor MN
10360,934591,803803,2,DNa02,via_interneuron,2,Pleural remotor/abductor MN
